smiles,logBB,BBclass
CCN2/C=C(/C(O)=O)C(=O)C3=C/C=C(/C/C1=C/C=CC=C1)N=C23,,1
C[C@@](N)([H])C/C1=C/C=C(/C=C1/C)N(C)C,,1
CC[C@@]1(CCC(=O)NC1=O)C2=C/C=C(/N)C=C2,,1
CN(C)C[C@@]([H])(CN2C1=CC=CC=C1[S]C3=CC=CC=C23)N(C)C,,1
CN(C)C(=O)[C@@]2(CCN(CCCC(=O)C1=C/C=C(/[F])C=C1)CC2)C3=C/C=C(/[Cl])C=C3,,1
CN(C)CC/C=C2/C1=CC=CC=C1CCC3=CC=CC=C23,,1
CCC1(CCC(C)(C)[H])C(=O)NC(=O)NC1=O,,1
[Cl]/C4=C/C=C3OC1=CC=CC=C1/N=C(/N2CCNCC2)C3=C4,,1
CO/C1=C/C=C/C=C1/N3CCN(CCC[C@@](O)([H])C2=C/C=C(/[F])C=C2)CC3,,1
CN4CCN3C1=CC=CC=C1CN2C=CC=C2[C@@]3([H])C4,,1
CCOC(=O)N2CCC(=O)N(/C1=C/C=CC=C1)C3=CC([Cl])=CC=C23,,1
CN(C(=O)C([H])(C1=CC=CC=C1)C2=CC=CC=C2)[C@@]([H])(CN3CC[C@@](O)([H])C3)C4=CC=CC=C4,,1
CC(C)([H])C3=N/N=C(/CO/C2=C/C=C1C(C)=C(C)C(=O)OC1=C2)[S]3,,1
CN1[C@@]2([H])CC[C@@]1([H])C[C@@]([H])(C2)OC(=O)[C@@]([H])(CO)C3=CC=CC=C3,,1
N#C/C1=C/C(=N/N=C1/NCCN2CCOCC2)C3=CC=CC=C3,,1
CCC(=O)OCC(=O)[C@@]3(OC(=O)CC)[C@@](C)([H])C[C@@]4([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([Cl])[C@@](O)([H])C[C@@]34C,,1
O=C(N1CCN(CC1)C/C2=C/C=CC=C2)C4=CC3=CC=CC=C3O4,,1
CN4CC[C@@]3(O)C1=CC=CC=C1OC=2C(=CC=CC=2C)[C@@]3([H])C4,,1
C[C@@]([H])(NNC(=O)C1=CC=CC=C1)C2=CC=CC=C2,,1
CC[C@@]2(C(=O)NC(=O)N(C(=O)C1=CC=CC=C1)C2=O)C3=CC=CC=C3,,1
O=C(O[C@@]1([H])CN2CCC1([H])CC2)C3=CC=CC=C3,,1
CNC[C@@]13CC[C@@]([H])(C2=CC=CC=C12)C4=CC=CC=C34,,1
C[C@@]([H])(C/C1=C/C=CC=C1)N(C)C/C2=C/C=CC=C2,,1
CCCN(/C1=C/C=NC=C1)N2C=CC3=CC=CC=C23,,1
C[C@@]4([H])C[C@@]3([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(O)C(=O)COC(C)=O,,1
CCC(=O)OCC(=O)[C@@]3(OC(=O)CC)[C@@](C)([H])C[C@@]4([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]34C,,1
CCCCC(=O)O[C@@]3(C(=O)CO)[C@@](C)([H])C[C@@]4([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]34C,,1
CNCCCCO/C1=C/C=C/C=C1/C/C2=C/C=CC=C2,,1
CN(C)CCN(C)N2/C=C(/C1=C/C=CC=C1)C3=CC=CC=C23,,1
[Br]C(=C)CC1(CC=C)C(=O)NC(=O)NC1=O,,1
CCN3N=NN(CCN2CC[C@@]([H])(N(C(=O)COC)C1=CC=C/C=C1/[F])[C@@](C)([H])C2)C3=O,,1
CO/C2=C/C([Br])=C1OC(=CC1=C2)C3([H])CCNCC3,,1
CN(C)C(=O)CCN/C1=C/C=C(/[Br])C=C1,,1
CN(C)CCO[C@@]([H])(C1=CC=CC=C1)C2=C/C=C(/[Br])C=C2,,1
CCN(CC)CCNC(=O)C1=CC([Br])=C(N)C=C1OC,,1
CCCCCCCCCC(=O)O[C@@]2(CCN(CCCC(=O)C1=C/C=C(/[F])C=C1)CC2)C3=C/C=C(/[Br])C=C3,,1
CCC[C@@]5([H])O[C@@]4([H])C[C@@]3([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]3(C)[C@@]4(O5)C(=O)CO,,1
CC(C)(C)N1CCC(CC1)(C2=CC=CC=C2)C3=CC=CC=C3,,1
CN(C)CCO[C@@]([H])(C1=CC=CC=C1)C2=CC=C/C=C2/C(C)(C)C,,1
O=C2CC1(CCCC1)CC(=O)N2CCCCN3CCN(CC3)C4=NC=CC=N4,,1
CC[C@@](C)([H])[C@@]1(CC)C(=O)NC(=O)NC1=O,,1
CC(C)([H])CC1(CC=C)C(=O)NC(=O)NC1=O,,1
CCCCNC[C@@]2([H])COC1=CC=CC=C1O2,,1
C[C@@]([H])(C[C@@]2([H])C1=CC=CC=C1CCC3=CC=CC=C23)CN(C)C,,1
CCOC(=O)NN[C@@](C)([H])C1=CC=CC=C1,,1
CCOC(=O)N[C@@](O)([H])C([Cl])([Cl])[Cl],,1
CCC([Br])(CC)C(=O)NC(N)=O,,1
CCC(=O)N(/C1=C/C=CC=C1)[C@@]3(CCN(CC/C2=C/C=CC=C2)CC3)C(=O)OC,,1
NC(=O)[C@@]4(CCN(CCCN2C1=CC=CC=C1CCC3=CC=CC=C23)CC4)N5CCCCC5,,1
CCCCN/C1=C(/C=NC=2N(CC)N=CC1=2)C(=O)OCC,,1
[F]/C4=C/C=C3NC=2CCN(CC/C1=C/C=NC=C1)CC=2C3=C4,,1
CN(C)[C@@](C)(CO)C/C1=C/C=C(/[Cl])C([Cl])=C1,,1
CN1CCN(CC1)[C@@]([H])(C2=CC=CC=C2)C3=C/C=C(/[Cl])C=C3,,1
CC(C)(O)C([Cl])([Cl])[Cl],,1
C[C@@]13C=CC(=O)C=C1[C@@]([Cl])([H])C[C@@]4([H])[C@@]2([H])CC[C@@](O)(C(=O)CO)[C@@]2(C)CC(=O)[C@@]34[H],,1
CO[C@@]5([H])[C@@]([H])(C[C@@]4([H])CN3CCC1=C(NC2=C/C=C(/[Cl])C=C12)[C@@]3([H])C[C@@]4([H])[C@@]5([H])C(=O)OC)OC(=O)C6=CC(OC)=C(OC)C(OC)=C6,,1
NC(=O)OC[C@@](O)([H])CO/C1=C/C=C(/[Cl])C=C1,,1
CN(C)CCO[C@@](C)(C1=CC=CC=C1)C2=C/C=C(/[Cl])C=C2,,1
CN(C)CCCN2C1=CC=CC=C1[S]C3=C/C=C(/[Cl])C=C23,,1
CN(C)CC/C=C2/C1=CC=CC=C1[S]C3=C/C=C(/[Cl])C=C23,,1
[Cl]CC[C@@]2([H])NC(=O)C1=CC=CC=C1O2,,1
CN(C)CCCN2C1=CC=CC=C1CCC3=C/C=C(/C#N)C=C23,,1
O[C@@]2(C1=NCCCN1C3=CC=CC=C23)C4=CC=C/C=C4/[Cl],,1
CN[C@@]2([H])CCN3C1=CC=CC=C1CCC4=CC=CC2=C34,,1
CN(C)CC/C=C2/C1=CC=CC=C1COC3=CC=CC=C23,,1
CO/C1=C/C=C(/C=C1/OC)[C@@](O)([H])CN2CCN(CC2)C3=CC=CC=CC3=O,,1
CN(CCOC([H])(C1=CC=CC=C1)C2=CC=CC=C2)C/C=C/C3=C/C=CC=C3,,1
CCO/C1=C/C(N)=C(/C=C1/C(=O)N[C@@]2([H])CCN(CC2)C[C@@]3([H])CCC=CC3)N(=O)=O,,1
O=C1CC[C@@](C(=O)N1)(C2=CC=CC=C2)[C@@]3([H])CCN(CC3)C/C=C/C4=C/C=CC=C4,,1
CCNC(=O)C=C/C1=C/C=CC([Br])=C1,,1
CO/C1=C/C(=CC(OC)=C1OC)C=CC(N)=O,,1
[F]/C1=C/C=C(C=C1)C(=O)CCCN2CCN(CC2)C4=CC3=CC=CC=C3C=N4,,1
CN(C)CCC[C@@]1(OCC2=CC(C#N)=CC=C12)C3=C/C=C(/[F])C=C3,,1
NC(=O)[C@@]2([H])C1=CC=CC=C1C=CC3=CC=CC=C23,,1
CN3C(=O)CN2CCC1=CC=CC=C1[C@@]2([H])C4=CC([Cl])=CC=C34,,1
CN(C)C[C@@](O)([H])[C@@]([H])(C1=CC=CC=C1)C2=CC=CC([Cl])=C2,,1
C/C3=N/C=C4C/N=C(/C1=C/C=C/C=C1/[Cl])C2=CC([Cl])=CC=C2N34,,1
C[C@@]4([H])C[C@@]3([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(O)C(=O)C[Cl],,1
CCC(=O)O[C@@]3(C(=O)C[Cl])[C@@](C)([H])C[C@@]4([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]34C,,1
CCN(CC)CCNC(=O)CO/C1=C/C=C(/[Cl])C=C1,,1
CN(C)CCC[C@@]2([H])C1=CC=CC=C1NC3=C/C=C(/[Cl])C=C23,,1
CN(C)CCCN2C1=CC=CC=C1CCC3=C/C=C(/[Cl])C=C23,,1
[Cl]/C1=C/C=C/C=C1/C2=N/CC(=O)NC3=CC=C(C=C23)N(=O)=O,,1
CN1CCC(CC1)=C3C2=CC=CC=C2OC4=C/C=C(/[Cl])C=C34,,1
CN1CCN(CC1)C3=NC2=CC=CC=C2[S]C4=C/C=C(/[Cl])C=C34,,1
COCCCC/C(=N/OCCN)C1=C/C=C(/[Cl])C=C1,,1
[Cl]/C4=C/C=C3NC(=O)CN1CCO[C@@]1(/C2=C/C=C/C=C2/[Cl])C3=C4,,1
OCCN4CCN(CCCN2C1=CC=CC=C1[S]C3=CC([Cl])=CN=C23)CC4,,1
CO/C2=C/C=C1C[C@@]4([H])N(C)CC[C@@]35C1=C2O[C@@]3([H])[C@@](O)([H])C=C[C@@]45[H],,1
C[C@@]4([H])C[C@@]3([H])[C@@]2([H])CC([F])([F])C1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(O)C(=O)COC(C)=O,,1
C[C@@]13CCC(=O)C=C1CC[C@@]4([H])[C@@]2([H])CC[C@@](O)(C(=O)CO)[C@@]2(C)CC(=O)[C@@]34[H],,1
CCCN(C(=O)C=CC)[C@@]([H])(CC)C(=O)N(C)C,,1
C[C@@]([H])(CN(C)C)CN2C1=CC=CC=C1[S]C3=C/C=C(/C#N)C=C23,,1
O=C2/N=C(/N[C@@]1([H])CC1)O[C@@]2([H])C3=CC=CC=C3,,1
N[C@@]1([H])CCC[C@@]1([H])C2=CC=CC=C2,,1
[Cl]/C3=C/C=C2N=C(CN(=O)=C(/C1=C/C=CC=C1)C2=C3)NCC4([H])CC4,,1
CN2CCCC3=CC=CC(OC[C@@]1([H])CNCCO1)=C23,,1
CNCCC[C@@]2(C)CN(/C1=C/C=CC=C1)C3=CC=CC=C23,,1
CN(C)C/C2=C/C1=CC=CC=C1[S]C3=CC=CC=C23,,1
CN1CCC(CC1)=C3C2=CC=CC=C2[C@@](O)([H])C4=CC=CC=C34,,1
CN(C)[C@@]([H])(CCO/C1=C/C=CC2=CC=CC=C12)C3=CC=CC=C3,,1
CCC(=O)O[C@@](C/C1=C/C=CC=C1)(C2=CC=CC=C2)[C@@](C)([H])CN(C)C,,1
CN2C(C)=NC1=CC=CC=C1C[C@@]2([H])C3=CC=CC=C3,,1
[F]/C1=C/C=C(C=C1)C(=O)[C@@]4([H])CCN(CCCN2C(=O)NC3=CC=CC=C23)CC4,,1
CC(=O)OCC(=O)[C@@]14/N=C(/C)O[C@@]1([H])C[C@@]5([H])[C@@]3([H])CCC2=CC(=O)C=C[C@@]2(C)[C@@]3([H])[C@@](O)([H])C[C@@]45C,,1
CN1C[C@@]([H])(CC#N)C[C@@]2([H])C=4C=CC=C3NC=C(C[C@@]12[H])C3=4,,1
[Cl]/C3=C/C=C2NC(=O)C/N=C(/C1=C/C=C/C=C1/[Cl])C2=C3,,1
CNCCO/N=C2/C1=CC=CC=C1C=CC3=CC=CC=C23,,1
O[C@@]([H])(CN1C=CN=C1)C3=C/C=C(/CC/C2=C/C=CC=C2)C=C3,,1
CN(C)CCCN2C1=CC=CC=C1C=CC3=CC=CC=C23,,1
[F]C([F])([H])O[C@@]([F])([H])C([F])([F])[F],,1
CNCCCN2C1=CC=CC=C1CCC3=CC=CC=C23,,1
CN1CC[C@@]23C=4C=5C[C@@]1([H])[C@@]2([H])CCC[C@@]3([H])OC=4C(O)=CC=5,,1
CC(C)([H])[C@@]5(O)CCN4C[C@@]2([H])C1=CC=CC=C1CCC3=CC=CC(=C23)[C@@]4([H])C5,,1
CO/C4=C/C=C3C[C@@]1([H])N(C)CC[C@@]2(CCCC[C@@]12[H])C3=C4,,1
C[C@@]([H])(CN1CCOCC1)C(C(=O)N2CCCC2)(C3=CC=CC=C3)C4=CC=CC=C4,,1
CN2CC[C@@]13CCCC[C@@]1([H])[C@@]2([H])CC4=C/C=C(/O)C=C34,,1
NC(=O)N1CC([H])(C1)O/C2=C/C=CC(=C2)C([F])([F])[F],,1
C[C@@]13CCCCC[C@@]([H])(CC2=C/C=C(/O)C=C12)[C@@]3(N)[H],,1
CC(=O)O[C@@]1([H])C=C[C@@]2([H])[C@@]3([H])CC4=C/C=C(/OC(C)=O)C=5O[C@@]1([H])[C@@]2(CCN3CC=C)C4=5,,1
CN2C(=O)C/N=C(/C1=C/C=CC=C1)C3=CC([Cl])=CC=C23,,1
CN(C)CCN2C(=O)C1=CC=CC=C1N(C)C3=CC=CC=C23,,1
CN3CC[C@@]2([H])NC1=C/C=C(/C)C=C1[C@@]2([H])C3,,1
CN1C(=O)CC[S](=O)(=O)[C@@]1([H])C2=C/C=C(/[Cl])C([Cl])=C2,,1
CO/C3=C/C=C1C(CN(C)C[C@@]1([H])C2=C/C=C(/[Cl])C([Cl])=C2)=C3,,1
CCN(CC)CCN2C1=CC=CC=C1[S]C3=CC=CC=C23,,1
[Cl]/C1=C/C=C(C=C1)[C@@]([H])(OCCN2CCOCC2)C3=CC=CC=C3,,1
C[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(OC(C)=O)C(=O)COC(C)=O,,1
CCCC(=O)O[C@@]3(CC[C@@]4([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]34C)C(=O)COC(C)=O,,1
CN2CC[C@@]13CCCC[C@@]1([H])[C@@]2([H])CC4=C/C=C(/C)C=C34,,1
CO/C3=C/C=C2OC1=CC=CC=C1/C(=C/CCN(C)C)C2=C3,,1
C[C@@]4([H])C[C@@]3([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(C)C(=O)CO,,1
CN(C)CCCN2C1=CC=CC=C1[C@@](C)(C)C3=CC=CC=C23,,1
CN(C(=O)CNCC(C)=C)C1=C/C=C(/[Cl])C=C1C(=O)C2=CC=CC=C2,,1
NC(=O)CN2C(=O)[C@@]([H])(C1=CC=CC=C1)C3=CC=CC=C23,,1
CN(C)CC/C=C2/C1=CC=CC=C1C[S]C3=CC=CC=C23,,1
OCCN2C(=O)[C@@](O)([H])N=C(/C1=C/C=C/C=C1/[F])C3=CC([Cl])=CC=C23,,1
O=C1NCNC1(/C2=C/C=CC=C2)C3=CC=CC=C3,,1
C[C@@]4([H])C[C@@]3([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(O)C(C)=O,,1
CN(C)CCO[C@@](C)(C1=CC=CC=C1)C2=CC=CC=N2,,1
CC5(C)O[C@@]4([H])C[C@@]3([H])[C@@]2([H])CC[C@@]1([H])CC(=O)CC[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(O5)C(=O)CO,,1
[F]/C1=C/C=C(C=C1)C(=O)CCCN2CCC(=CC2)N3C(=O)NC4=CC=CC=C34,,1
CN(C(=O)CN(CCO)CCO)C1=C/C=C(/[Cl])C=C1C(=O)C2=CC=C/C=C2/[Cl],,1
CN3/C=C(/CCN1CCN(CC1)C2=CC=C/C=C2/[Cl])C=N3,,1
CN(C)CCCN2CC1=CC=CC=C1C(=C)C3=CC=CC=C23,,1
[Cl]/C1=C/C=C(C=C1)C(=O)NCCCN2CCOCC2,,1
CN1CC[C@@]2(C)C[C@@]([H])(C1)CC3=C/C=C(/O)C=C23,,1
CC/C1=C/C=C/C=C1/N3C(C)=NC2=CC=CC=C2C3=O,,1
CCC1(C(=O)N(COC)C(=O)N(COC)C1=O)C2=CC=CC=C2,,1
CC[C@@]1(C)CC(=O)NC1=O,,1
CCN1C(=O)N[C@@]([H])(C1=O)C2=CC=CC=C2,,1
CC[Cl],,1
CC/C3=C/C=2C(=NCC1=N/N=C(/C)N1C=2[S]3)C4=CC=C/C=C4/[Cl],,1
CCOC(=O)C1=CN=CN1[C@@](C)([H])C2=CC=CC=C2,,1
CN[C@@]2([H])CCC=1N=C[S]C=1C2,,1
CC[C@@](N)([H])C/C1=C/NC2=CC=CC=C12,,1
[Cl]CCC(=O)NCC/C1=C/C=CC=C1,,1
O/C1=C/C=C/C=C1/C2=N/N=CO2,,1
CCC(=O)N(/C1=C/C=CC=C1)C2([H])CCN(CC2)CC/C3=C/C=CC=C3,,1
CN(C)CCCN2/C=C(/C1=C/C=CC=C1)C(=N2)C3=CC=CC=C3,,1
[F]/C1=C/C=C/C=C1/C2=N/CCN(CC([F])([F])[F])C3=C/C=C(/[Cl])C=C23,,1
CO/C1=C/C=C/C=C1/N3CCN(CCCC(=O)C2=C/C=C(/[F])C=C2)CC3,,1
CN(C)[C@@]3([H])CCC=2N/C1=C(/[F])C=C([F])C=C1C=2C3,,1
O[C@@]([H])(CO[C@@]1(CCCCC1)C#C)CN2CCN(CC2)C3=C/C=C(/[F])C=C3,,1
CN2C(=O)C/N=C(/C1=C/C=C/C=C1/[F])C3=CC([Cl])=CC=C23,,1
C[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(O)C(=O)CO,,1
C[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(O)C(=O)COC(=O)C(C)(C)C,,1
CC5(C)O[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]3(C)[C@@]4(O5)C(=O)CO,,1
CC(=O)OCC(=O)[C@@]14OC(C)(C)O[C@@]1([H])C[C@@]5([H])[C@@]3([H])C[C@@]([F])([H])C2=CC(=O)C=C[C@@]2(C)[C@@]3([H])[C@@](O)([H])C[C@@]45C,,1
CN2C(=O)C/N=C(/C1=C/C=C/C=C1/[F])C3=CC(=CC=C23)N(=O)=O,,1
C[C@@]34C[C@@](O)([H])[C@@]1([F])[C@@]([H])(C[C@@]([F])([H])C2=CC(=O)C=C[C@@]12C)[C@@]3([H])C[C@@](O)([H])[C@@]4(O)C(=O)CO,,1
CC5(C)O[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(O5)C(=O)CO,,1
C[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]3(C)[C@@]4([H])C(=O)CO,,1
C[C@@]3([H])C[C@@]2([H])[C@@]1([H])CC[C@@](O)(C(C)=O)[C@@]1(C)C[C@@](O)([H])[C@@]2([F])[C@@]4(C)C=CC(=O)C=C34,,1
CN1CCN(CC1)C3=NC2=CC([F])=CC=C2CC4=CC=CC=C34,,1
C[C@@]([H])(OC(C)=O)C(=O)[C@@]3(O)CC[C@@]4([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]34C,,1
OCCN4CCN(CCCN2C1=CC=CC=C1[S]C3=CC=C(C=C23)C([F])([F])[F])CC4,,1
C[C@@]34C[C@@](O)([H])[C@@]1([F])[C@@]([H])(CCC2=CC(=O)C=C[C@@]12C)[C@@]3([H])CC(=C)[C@@]4(O)C(=O)CO,,1
C[C@@]13C=CC(=O)C=C1[C@@]([F])([H])C[C@@]4([H])[C@@]2([H])CC[C@@](O)(C(=O)CO)[C@@]2(C)C[C@@](O)([H])[C@@]34[H],,1
CCCCC(=O)O[C@@]3(CC[C@@]4([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]34C)C(=O)CO,,1
CNCC[S]/C2=C/C1=CC=CC=C1OC3=C/C=C(/[F])C=C23,,1
CC5(C)O[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)CC[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]3(C)[C@@]4(O5)C(=O)CO,,1
[F]C([F])([F])COC=C,,1
[F]/C1=C/C=C(C=C1)N2CNC(=O)[C@@]24CCN(CCCC(=O)C3=C/C=C(/[F])C=C3)CC4,,1
[F]/C1=C/C=C/C=C1/C3=N/CC(=O)N(CC2([H])CC2)C4=C/C=C(/[Cl])C=C34,,1
C[C@@]([H])(C/C1=C/C=CC=C1)N(C)C/C2=C/C=CO2,,1
CO/C2=C/C=C3CN(C)CC[C@@]14C=C[C@@](O)([H])C[C@@]1([H])OC2=C34,,1
CN(C)CC[C@@]([H])(C1=CC=CC=C1)[C@@]2([H])CCCCC2,,1
N/C2=N/C=1N(COC([H])(CO)CO)C=NC=1C(=O)N2,,1
CC[C@@]1(CCC(=O)NC1=O)C2=CC=CC=C2,,1
NC(=N)NCCCO/C1=C/C=CC=C1,,1
[F]C([F])([F])CN2C(=O)C/N=C(/C1=C/C=CC=C1)C3=CC([Cl])=CC=C23,,1
C[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C([Cl])=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(O)C(=O)CO,,1
O[C@@]2(CCN(CCCC(=O)C1=C/C=C(/[F])C=C1)CC2)C3=C/C=C(/[Cl])C=C3,,1
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCCC2,,1
CN1CC[C@@]([H])(CC1)O[C@@]3([H])C2=CC=CC=C2CCC4=CC=CC=C34,,1
CN2C(=O)NC(=O)[C@@](C)(C1=CCCCC1)C2=O,,1
CN1CCCN(CC1)[C@@]([H])(C2=CC=CC=C2)C3=C/C=C(/[Cl])C=C3,,1
OCCN4CCCN(CCCN2C1=CC=CC=C1[S]C3=CC=C(C=C23)C([F])([F])[F])CC4,,1
CO/C2=C/C=C1C[C@@]4([H])N(C)CC[C@@]35C1=C2O[C@@]3([H])C(=O)CC[C@@]45[H],,1
CC(=O)OCC(=O)[C@@]3(O)CC[C@@]4([H])[C@@]2([H])CCC1=CC(=O)CC[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]34C,,1
CCCC(=O)O[C@@]3(CC[C@@]4([H])[C@@]2([H])CCC1=CC(=O)CC[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]34C)C(=O)COC(=O)CC,,1
CCCC(=O)O[C@@]3(CC[C@@]4([H])[C@@]2([H])CCC1=CC(=O)CC[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]34C)C(=O)CO,,1
CN3CC[C@@]12C=4C=5O[C@@]1([H])C(=O)CC[C@@]2([H])[C@@]3([H])CC=4C=CC=5O,,1
CCOC(=O)C1(CCN(C)CC1)C2=CC=CC(O)=C2,,1
CC[C@@](O)(COC(N)=O)C1=CC=CC=C1,,1
OCCOCCN1CCN(CC1)[C@@]([H])(C2=CC=CC=C2)C3=C/C=C(/[Cl])C=C3,,1
CCCC(=O)O[C@@]3(C(=O)COC(C)=O)[C@@](C)([H])C[C@@]4([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([Cl])[C@@](O)([H])C[C@@]34C,,1
CC[C@@]1(NCC(=O)NC1=O)C2=CC=CC=C2,,1
CN(C)CCCN2C1=CC=CC=C1CCC3=CC=CC=C23,,1
[H]C1(CCNCC1)CC/C2=C/NC3=CC=CC=C23,,1
CN(C)CC#C/C=C2/C1=CC=CC=C1C=CC3=CC=CC=C23,,1
CN(C)CCCN2C=1CCCCCCC=1C3=CC=CC=C23,,1
CC(C)([H])NNC(=O)C1=CC=NC=C1,,1
[F]C([F])([H])O[C@@]([Cl])([H])C([F])([F])[F],,1
CCC(=O)C(/C1=C/C=CC=C1)(C2=CC=CC=C2)[C@@](C)([H])CN(C)C,,1
C[C@@]13CCC(=O)C=C1C=C[C@@]4([H])[C@@]2([H])CC(=C)[C@@](O)(C(=O)CO)[C@@]2(C)C[C@@](O)([H])[C@@]34[H],,1
CCN(CC)[C@@](C)([H])CN2C1=CC=CC=C1[S]C3=CC=CC=C23,,1
CN(C)CCCN2C1=CC=CC=C1CC(=O)C3=CC=CC=C23,,1
O/C3=C/C=CC=4C[C@@]1([H])N(CC[C@@]2(CC(=O)CC[C@@]12[H])C3=4)C[C@@]5([H])CC5,,1
N[C@@]([H])(C/C1=C/C=C(/O)C(O)=C1)C(O)=O,,1
CO/C3=C/C=C2[S]C1=CC=CC=C1N(C[C@@](C)([H])CN(C)C)C2=C3,,1
CNC[C@@](O)([H])C[C@@]13CC[C@@]([H])(C2=CC=CC=C12)C4=CC=CC=C34,,1
CCO[C@@]1([H])CCN(C1)C(=O)C=4/C=C(/C2=C/C=CC=C2)C(=O)N5CCC3=C/C=C(/[Cl])C=C3C=45,,1
[H]C1(CCNCC1)OC/C3=C/C=C2C=CC=CC2=C3,,1
CN1[C@@]([H])(CCC[C@@]1([H])CC(=O)C2=CC=CC=C2)C[C@@](O)([H])C3=CC=CC=C3,,1
O[C@@]1([H])CCN(CC1)C2=CC=C(N=N2)C3=CC=C/C=C3/[Cl],,1
O[C@@]3([H])N=C(/C1=C/C=C/C=C1/[Cl])C2=CC([Cl])=CC=C2NC3=O,,1
[Cl]/C1=C/C=C(N=N1)N2CCN(CC2)C/C=C/C3=C/C=CC=C3,,1
[Cl]/C(=C/N1C=NC=N1)C2=C/C=C(/[Cl])C=C2[Cl],,1
CN4C[C@@]3([H])CC1=C/C=C(/[Cl])C=C1[C@@]([H])(C2=CC=CC=C2)[C@@]3([H])C4,,1
CNCCC[C@@]13CC[C@@]([H])(C2=CC=CC=C12)C4=CC=CC=C34,,1
CN1CCC3=C(CC1)C2=CC=CC=C2OC4=CC=CC=C34,,1
CC(C)([H])O/C1=C/C=C/C=C1/N2CCN(CC2)C/C3=C/C=CC(=C3)C(=O)N4CCCCC4,,1
CN(C)CC([H])(O/C1=C/C=CC=C1)O/C2=C/C=CC=C2,,1
CO/C3=C/C=C(/CCN1CCN(CC1)C2=CC=C/C=C2/[Cl])C=C3OC,,1
CN2C(=O)C/N=C(/C1=C/CCCC1)C3=CC(=CC=C23)N(=O)=O,,1
CC[C@@]1(NC(=O)N(C)C1=O)C2=CC=CC=C2,,1
CC[C@@]1(C(=O)NC(=O)N(C)C1=O)C2=CC=CC=C2,,1
